Full_Address,lat,lon
"Tó Park, 2045 Törökbálint, HU",47.4538001,18.8924349
"Rakoczi ut  70-72, 1074 Budapest, HU",47.4988526,19.0748622
"Daimler út 6., 6000 Kecskemét, HU",46.8677519,19.7042545
"Platánfa u. 3, 9027 Gyõr, HU",47.6815035,17.7087207
"Abbey Road, Ferrybank,  Waterford, IE",52.2635806,-7.1017612
"Lower Hatch Street, 22 Dublin 2, IE",53.3338422,-6.2572724
"Lower Hatch Street, 22 Dublin 2, IE",53.3338422,-6.2572724
"Faridabad District,  State of, 121004 Ballabgarh, IN",28.3526611,77.3603937
"Via Bartolino da Novara 8, 28100 Novara, IT",45.4549122,8.6367204
"Viale delle Arti 151, 00054 Fiumicino, IT",41.8015295,12.294781
"Cascina Bruciata 7, 24068 SERIATE, IT",45.6603345,9.7447579
"Via della Libertà 30, 10095 Grugliasco, IT",45.0455331,7.590034
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7740 Colmar-Berg, LU",49.8076375,6.0933745
"Zone Industrielle Riedgen, 3451 Dudelange (Diddeleng), LU",49.5007632,6.1104241
"1 Rue du Campus, 7795 Bissen, LU",49.7867823,6.0847779
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7740 Colmar-Berg, LU",49.8076375,6.0933745
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Zone Industrielle Riedgen, 3451 Dudelange (Diddeleng), LU",49.5007632,6.1104241
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Z.I. Jean Piret, 7750 Colmar-Berg, LU",49.8057836,6.1021328
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Route de Roost, 7791 Bissen, LU",49.7861074,6.07598
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7750 Colmar-Berg, LU",49.7968692,6.0956229
"Avenue Gordon Smith, 7740 Colmar-Berg, LU",49.8076375,6.0933745
"Avenue Gordon Smith, 7740 Colmar-Berg, LU",49.8076375,6.0933745
"Dijkleger 4, 4131MA Vianen, NL",51.9815728,5.1089653
"Geminiweg 51, 5015 BP TILBURG, NL",51.5712348,5.1048405
"Ledeboerstraat 21, 5048 AC TILBURG, NL",51.5822984,5.0573129
"Archimedesbaan 15, 3439 ME Nieuwegein, NL",52.0353726,5.1049683
"Nevelgaarde 8, 3436 ZZ Nieuwegein, NL",52.0276679,5.066842
"Ledeboerstraat 21, 5048 AC Tilburg, NL",51.5822984,5.0573129
"Rustvenseweg 2, 5375 KW Reek, NL",51.7362033,5.6741771
"Industriestraat 12, 6135 Sittard, NL",51.0013766,5.844404
"Treveien 9, 1540 Vestby, NO",59.5796539,10.7423688
"Torvuttaket 26, 1540 Vestby, NO",59.577526,10.741483
"Lysaker Torg 15, 1366 Lysaker, NO",59.912398,10.636507
"Mokrzec 50, 39-220 Mokrzec, PL",52.1476407,16.352281
"ul. 1 Maja 1, 39-200 Debica, PL",50.0452824,21.3932973
"ul. 1 Maja 1, 39-200 Debica, PL",50.0452824,21.3932973
"ul. 1 Maja 1, 39-200 Debica, PL",50.0452824,21.3932973
"ul. 1 Maja 1, 39-200 Debica, PL",50.0452824,21.3932973
"Cementowa 10, 30-740 Kraków, PL",50.0769531,20.1183781
"Rua dos tractores 647, 2870-607 Montijo, PT",38.6720755,-8.936786
"Rua dos Tractores, 647, 2870-607 Montijo, PT",38.6720755,-8.936786
"Rua dos Tractores, 647, 2870-607 Montijo, PT",38.6720755,-8.936786
"Savski nasip 7, 11070 Belgrade, RS",44.8025792,20.4193203
"Möbelvägen 39, 556 52 Jönköping, SE",57.6767803,14.162218
"Möbelvägen 39, 556 52 Jönköping, SE",57.6767803,14.162218
"Mäklaregatan, 602 28 Norrköping, SE",58.599028,16.2227955
"Skofjeloska cesta 6, 4000 Kranj, SI",46.2281783,14.353263
"Skofjeloska cesta 6, 4000 Kranj, SI",46.2281783,14.353263
"Skofjeloska 6, 4000 Kranj, SI",46.2281783,14.353263
"Cesca vas 40, 8000 Novo Mesto, SI",45.7967426,15.12462
